Ad Set Name,Ad name,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Clicks (all),CTR (all),CPC (All),Reporting starts,Reporting ends,,
Circumcision-Coimbatore-Sep23,Circumcision-Coimbatore-Man with black t-shirt,Meta Leads,5,15441,23086,861.47,4307.35,138,0.59776488,31.21268116,2023-09-01,2023-09-30,,
Lipoma-Coimbatore-Sep23,Lipoma-Coimbatore-Girl's hand,Meta Leads,9,29209,47972,475.81,4282.26,301,0.62744935,14.22677741,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Pen,Meta Leads,11,14994,21888,385.95,4245.49,129,0.58936404,32.91077519,2023-09-01,2023-09-30,,
Circumcision-Hyderabad,Circumcision-Hyderabad-Video,Meta Leads,11,25911,35768,383.59,4219.50,179,0.50044733,23.5726257,2023-09-01,2023-09-30,,
Piles-Hyderabad-Sep23,Piles-Hyderabad-Video,Meta Leads,13,18195,29100,322.63,4194.16,346,1.18900344,12.12184971,2023-09-01,2023-09-30,,
001-Circumcision-Vizag-Urology-LG,Ad-05-001-Circumsicion-Vizag-Urology-LG,Meta Leads,6,20782,30899,682.28,4093.68,177,0.57283407,23.12813559,2023-09-01,2023-09-30,,
Lipoma-Trivandrum-Sep23,Lipoma-Trivandrum-Video,Meta Leads,1,46016,55047,4087.01,4087.01,217,0.39420859,18.83414747,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-Video,Meta Leads,13,18007,33754,307.74,4000.62,463,1.37168928,8.64064795,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG,Ad-04-001-Circumsicion-Kochi-Urology-LG – Copy,Meta Leads,4,22403,32562,939.66,3758.64,216,0.66334992,17.40111111,2023-09-01,2023-09-30,,
Piles-Chennai-Sep23,Piles-Chennai-Video,Meta Leads,5,19003,27963,722.78,3613.88,222,0.79390623,16.27873874,2023-09-01,2023-09-30,,
001-Piles-Vizag-Procto-LG,Ad-05-001-Piles-Vizag-Procto-LG-Video,Meta Leads,8,19634,25803,450.13,3601.03,192,0.74409952,18.75536458,2023-09-01,2023-09-30,,
Lipoma-Coimbatore-Sep23,Lipoma-Coimbatore-Video,Meta Leads,6,48732,55091,599.57,3597.43,172,0.31221071,20.9152907,2023-09-01,2023-09-30,,
Gynecomastia-Bangalore-Sep23,Gynecomastia-Bangalore-Video,Meta Leads,9,31055,38893,396.80,3571.22,153,0.39338698,23.34130719,2023-09-01,2023-09-30,,
Gynecomastia-Bangalore-Sep23,Gynecomastia-Bangalore-Video,Meta Leads,12,35213,44848,294.68,3536.19,165,0.36790938,21.43145455,2023-09-01,2023-09-30,,
Piles-Vizag-Sep23,Piles-Vizag-Video,Meta Leads,5,21102,30658,700.99,3504.95,300,0.97853741,11.68316667,2023-09-01,2023-09-30,,
Gynecomastia-Hyderabad-Sep23,Gynecomastia-Hyderabad-Video,Meta Leads,27,51326,67732,125.86,3398.20,235,0.34695565,14.46042553,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Video,Meta Leads,9,19674,25171,376.37,3387.31,110,0.43701085,30.79372727,2023-09-01,2023-09-30,,
Circumcision-Coimbatore-Sep23,Circumcision-Coimbatore-Pen,Meta Leads,2,18293,25939,1688.45,3376.90,106,0.40865107,31.85754717,2023-09-01,2023-09-30,,
Varicose Vein-Bangalore-Sep23,Varicose Vein-Bangalore-Video,Meta Leads,11,15846,21846,302.47,3327.17,246,1.12606427,13.5250813,2023-09-01,2023-09-30,,
Circumcision-Trivandrum-Sep23,Circumcision-Trivandrum-Pen,Meta Leads,6,38975,49836,539.66,3237.93,157,0.31503331,20.62375796,2023-09-01,2023-09-30,,
Circumcision-Hyderabad-Sep23,Circumcision-Hyderabad-Video,Meta Leads,8,17043,23224,392.23,3137.87,119,0.51240096,26.36865546,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG,Ad-04-001-Circumsicion-Kochi-Urology-LG – Copy,Meta Leads,3,20736,28215,1029.03,3087.08,142,0.5032784,21.74,2023-09-01,2023-09-30,,
Circumcision-Hyderabad,Circumcision-Hyderabad-Pen,Meta Leads,8,23638,28806,365.42,2923.36,59,0.20481844,49.54847458,2023-09-01,2023-09-30,,
Circumcision-Hyderabad-Sep23,Circumcision-Hyderabad-Pen,Meta Leads,4,15698,19979,706.04,2824.17,84,0.42044146,33.62107143,2023-09-01,2023-09-30,,
Gynecomastia-Vizag-Sep23,Gynecomastia-Vizag-Grade 1 to 4,Meta Leads,14,21060,28289,200.54,2807.52,166,0.58680052,16.91277108,2023-09-01,2023-09-30,,
Gynecomastia-Hyderabad-Sep23,Gynecomastia-Hyderabad-Grade 1 to 4,Meta Leads,17,31655,37006,163.88,2785.96,198,0.53504837,14.07050505,2023-09-01,2023-09-30,,
Hair Transplant-Chennai-Sep23,Hair Transplant-Chennai-Video,Meta Leads,18,12432,16409,152.38,2742.77,209,1.27369127,13.12330144,2023-09-01,2023-09-30,,
Gynecomastia-Vizag-Sep23,Gynecomastia-Vizag-Video,Meta Leads,11,13696,20161,239.53,2634.86,141,0.69937007,18.68695035,2023-09-01,2023-09-30,,
Circumcision-Coimbatore-Sep23,Circumcision-Coimbatore-Pen,Meta Leads,2,16382,21766,1312.64,2625.27,96,0.44105486,27.3465625,2023-09-01,2023-09-30,,
Circumcision-Coimbatore,Circumcision-Coimbatore-Pen,Meta Leads,1,17630,21875,2525.00,2525.00,51,0.23314286,49.50980392,2023-09-01,2023-09-30,,
Gynecomastia-Kochi-Sep23,Gynecomastia-Kochi-Man holding bag strap,Meta Leads,12,23295,31718,208.63,2503.59,158,0.49813986,15.84550633,2023-09-01,2023-09-30,,
Circumcision-Kochi,Circumcision-Kochi-Video,Meta Leads,,13204,19036,,2485.00,145,0.76171465,17.13793103,2023-09-01,2023-09-30,,
Piles-Coimbatore-Sep23,Piles-Coimbatore-plastic body & tissue paper,Meta Leads,4,13176,17178,606.99,2427.97,112,0.65199674,21.67830357,2023-09-01,2023-09-30,,
Gynecomastia-Trivandrum-Sep23,Gynecomastia-Trivandrum-Man holding bag strap,Meta Leads,12,18725,28528,199.56,2394.68,306,1.0726304,7.82575163,2023-09-01,2023-09-30,,
Circumcision-Kochi,Circumcision-Kochi-Pen,Meta Leads,1,23037,30079,2355.63,2355.63,96,0.31915955,24.5378125,2023-09-01,2023-09-30,,
Circumcision-Trivandrum,Circumcision-Trivandrum-Video,Meta Leads,3,10537,15248,779.91,2339.74,158,1.03620147,14.80848101,2023-09-01,2023-09-30,,
Piles-Bangalore-Sep23,Piles-Bangalore-Video,Meta Leads,5,12650,16528,431.29,2156.44,139,0.8409971,15.51395683,2023-09-01,2023-09-30,,
Circumcision-Kochi,Circumcision-Kochi-Man with black t-shirt,Meta Leads,3,15530,20730,718.46,2155.39,76,0.36661843,28.36039474,2023-09-01,2023-09-30,,
001-Varicose Vein-Bangalore-Vascular-LG,Ad-06-001-Varicose Vein-Bangalore-Vascular-LG-Video,Meta Leads,9,5797,8249,236.83,2131.46,81,0.9819372,26.31432099,2023-09-01,2023-09-30,,
Circumcision-Vizag-Sep23,Circumcision-Vizag-Video,Meta Leads,2,16864,23100,1045.26,2090.51,79,0.34199134,26.4621519,2023-09-01,2023-09-30,,
Gynecomastia-Hyderabad-Sep23,Gynecomastia-Hyderabad-Grade 1 to 4,Meta Leads,9,23030,27690,218.30,1964.70,125,0.45142651,15.7176,2023-09-01,2023-09-30,,
Circumcision-Trivandrum,Circumcision-Trivandrum-Pen,Meta Leads,1,20436,26150,1946.92,1946.92,89,0.34034417,21.87550562,2023-09-01,2023-09-30,,
Gynecomastia-Vizag-Sep23,Gynecomastia-Vizag-Side view of a man without shirt,Meta Leads,5,10450,14648,362.95,1814.74,97,0.66220644,18.70865979,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Video,Meta Leads,2,10290,12387,906.70,1813.40,54,0.43594091,33.58148148,2023-09-01,2023-09-30,,
Circumcision-Hyderabad,Circumcision-Hyderabad-Rollon,Meta Leads,2,12486,15807,875.53,1751.05,65,0.41121022,26.93923077,2023-09-01,2023-09-30,,
Circumcision-Coimbatore-Sep23,Circumcision-Coimbatore-Video,Meta Leads,1,11337,13930,1736.19,1736.19,82,0.58865757,21.17304878,2023-09-01,2023-09-30,,
Piles-Hyderabad-Sep23,Piles-Hyderabad-Video,Meta Leads,7,5108,7556,245.94,1721.56,84,1.11169931,20.4947619,2023-09-01,2023-09-30,,
Lipoma-Hyderabad-Sep23,Lipoma-Hyderabad-Video,Meta Leads,5,15524,17539,320.60,1602.99,96,0.54735162,16.6978125,2023-09-01,2023-09-30,,
Circumcision-Trivandrum,Circumcision-Trivandrum-Man with black t-shirt,Meta Leads,1,17784,21916,1560.56,1560.56,76,0.34677861,20.53368421,2023-09-01,2023-09-30,,
001-Piles-Kochi-Procto-LG,Ad-05-001-Piles-Kochi-Procto-LG-Video,Meta Leads,2,7642,11061,762.04,1524.07,116,1.04872977,13.13853448,2023-09-01,2023-09-30,,
Circumcision-Chennai-Sep23,Circumcision-Chennai-Rollon,Meta Leads,2,6393,7865,734.15,1468.30,53,0.67387158,27.70377358,2023-09-01,2023-09-30,,
001-Circumcision-Bangalore-Urology-LG,Ad-05-001-Circumsicion-Bangalore-Urology-LG,Meta Leads,4,5256,6753,366.72,1466.87,60,0.888494,24.44783333,2023-09-01,2023-09-30,,
Circumcision-Chennai,Circumcision-Chennai-Roll-on,Meta Leads,,6199,8145,,1355.39,39,0.47882136,34.75358974,2023-09-01,2023-09-30,,
Circumcision-Chennai,Circumcision-Chennai-Pen on Surgeon's Hand,Meta Leads,1,6637,9022,1345.87,1345.87,43,0.47661272,31.29930233,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-Man sitting on a sofa,Meta Leads,3,17871,21556,438.10,1314.29,42,0.19484134,31.29261905,2023-09-01,2023-09-30,,
Piles-Bangalore-Sep23,Piles-Bangalore-plastic body & tissue paper,Meta Leads,9,8329,10822,143.83,1294.43,108,0.9979671,11.98546296,2023-09-01,2023-09-30,,
Circumcision-Kochi-Sep23,Circumcision-Kochi-Video,Meta Leads,3,6948,10091,428.06,1284.17,83,0.82251511,15.47192771,2023-09-01,2023-09-30,,
Lipoma-Bangalore-Sep23,Lipoma-Bangalore-Video,Meta Leads,7,14631,16105,183.34,1283.40,73,0.45327538,17.58082192,2023-09-01,2023-09-30,,
Lipoma-Chennai-Sep23,Lipoma-Chennai-Girl looking on lipoma,Meta Leads,4,7355,13006,318.82,1275.29,134,1.03029371,9.51708955,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-LG,Ad-03-001-Circumsicion-Chennai-Urology-LG,Meta Leads,2,9622,11033,635.75,1271.49,67,0.6072691,18.97746269,2023-09-01,2023-09-30,,
Piles-Kolkata-LG-Bengali Language,Piles-Kolkata-LG-Man Back photo,Meta Leads,5,4142,5221,254.00,1270.01,83,1.58973377,15.3013253,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-Girl holding cactus,Meta Leads,2,11808,16537,624.78,1249.55,84,0.50795187,14.87559524,2023-09-01,2023-09-30,,
Lipoma-Trivandrum-Sep23,Lipoma-Trivandrum-Girl's hand,Meta Leads,2,15337,19525,624.12,1248.24,91,0.46606914,13.71692308,2023-09-01,2023-09-30,,
Circumcision-Chennai,Circumcision-Chennai-Man with black t-shirt,Meta Leads,,4754,6501,,1223.60,39,0.59990771,31.37435897,2023-09-01,2023-09-30,,
Piles-Chennai-Sep23,Piles-Chennai-plastic body & tissue paper,Meta Leads,3,5787,8267,392.64,1177.92,33,0.39917745,35.69454545,2023-09-01,2023-09-30,,
Lipoma-Coimbatore-Sep23,Lipoma-Coimbatore-Girl's forehead,Meta Leads,,8289,10912,,1158.07,50,0.45821114,23.1614,2023-09-01,2023-09-30,,
Circumcision-Trivandrum-Sep23,Circumcision-Trivandrum-Video,Meta Leads,1,5505,8182,1147.58,1147.58,105,1.28330482,10.92933333,2023-09-01,2023-09-30,,
Piles-Bangalore-Sep23,Piles-Bangalore-Video,Meta Leads,5,4904,6643,228.84,1144.22,66,0.99352702,17.33666667,2023-09-01,2023-09-30,,
Circumcision-Kochi,Circumcision-Kochi-Pen on Surgeon's Hand,Meta Leads,,8171,10163,,1130.43,44,0.43294303,25.69159091,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Man with black t-shirt,Meta Leads,1,4944,6146,1082.82,1082.82,27,0.43931012,40.10444444,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG,Ad-01-001-Circumsicion-Kochi-Urology-LG,Meta Leads,4,3333,4436,268.25,1072.99,43,0.96934175,24.95325581,2023-09-01,2023-09-30,,
Piles-Vizag-Sep23,Piles-Vizag-Man Standing Inside a Theatre,Meta Leads,3,9606,11662,356.64,1069.92,40,0.34299434,26.748,2023-09-01,2023-09-30,,
Circumcision-Vizag-Sep23,Circumcision-Vizag-Pen on Surgeon's Hand,Meta Leads,2,10469,12097,530.60,1061.20,30,0.24799537,35.37333333,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-Video-Man Standing Inside a Theatre,Meta Leads,2,8908,11509,525.60,1051.20,37,0.32148753,28.41081081,2023-09-01,2023-09-30,,
Circumcision-Chennai-Sep23,Circumcision-Chennai-Pen on Surgeon's Hand,Meta Leads,1,5668,6649,1019.24,1019.24,18,0.2707174,56.62444444,2023-09-01,2023-09-30,,
Piles-Kolkata-LG,Piles-Kolkata-LG-Man Driving a Car,Meta Leads,2,1843,2153,504.53,1009.05,20,0.92893637,50.4525,2023-09-01,2023-09-30,,
Piles-Trivandrum-Sep23,Piles-Trivandrum-plastic body & tissue paper,Meta Leads,2,10406,11930,502.94,1005.87,44,0.36881811,22.86068182,2023-09-01,2023-09-30,,
Circumcision-Coimbatore-Sep23,Circumcision-Coimbatore-Man with black t-shirt,Meta Leads,2,6589,8052,493.09,986.17,35,0.43467462,28.17628571,2023-09-01,2023-09-30,,
Piles-Vizag-Sep23,Piles-Vizag-plastic body & tissue paper,Meta Leads,2,10025,12398,492.70,985.39,46,0.37102759,21.42152174,2023-09-01,2023-09-30,,
Cataract-Bangalore-Oct23,Cataract-Bangalore-Old Man Eye,Meta Leads,3,3601,4148,320.51,961.52,32,0.77145612,30.0475,2023-09-01,2023-09-30,,
Piles-Coimbatore-Sep23,Piles-Coimbatore-Man sitting on a sofa,Meta Leads,,3719,5043,,955.20,45,0.892326,21.22666667,2023-09-01,2023-09-30,,
Gynecomastia-Bangalore-Sep23,Gynecomastia-Bangalore-Grade 1 to 4,Meta Leads,5,6130,8033,190.38,951.89,45,0.56018922,21.15311111,2023-09-01,2023-09-30,,
Piles-Hyderabad-Sep23,Piles-Hyderabad-plastic body & tissue paper,Meta Leads,2,9818,11317,469.91,939.82,25,0.2209066,37.5928,2023-09-01,2023-09-30,,
Circumcision-Vizag-Sep23,Circumcision-Vizag-Rollon,Meta Leads,2,8727,10318,467.61,935.22,41,0.39736383,22.8102439,2023-09-01,2023-09-30,,
Circumcision-Coimbatore,Circumcision-Coimbatore-Rollon,Meta Leads,1,5648,6777,930.15,930.15,50,0.73778958,18.603,2023-09-01,2023-09-30,,
001-Circumcision-Vizag-Urology-LG,Ad-01-001-Circumsicion-Vizag-Urology-LG,Meta Leads,3,3899,5399,299.00,896.99,46,0.85200963,19.49978261,2023-09-01,2023-09-30,,
Circumcision-Hyderabad-Sep23,Circumcision-Hyderabad-Video,Meta Leads,7,3843,5235,127.65,893.56,60,1.14613181,14.89266667,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Rollon,Meta Leads,1,4935,5984,887.88,887.88,19,0.31751337,46.73052632,2023-09-01,2023-09-30,,
Cataract-Chennai-Sep23,Cataract-Chennai-Old women eye,Meta Leads,,3417,4407,,869.72,15,0.3403676,57.98133333,2023-09-01,2023-09-30,,
Circumcision-Trivandrum-Sep23,Circumcision-Trivandrum-Man with black t-shirt,Meta Leads,,10066,12181,,866.08,43,0.35300878,20.14139535,2023-09-01,2023-09-30,,
Cataract-Chennai-Sep23,Cataract-Chennai-Old man reading book,Meta Leads,1,1806,2355,834.69,834.69,11,0.4670913,75.88090909,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-plastic body & tissue paper,Meta Leads,1,12559,13046,831.44,831.44,22,0.16863406,37.79272727,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG,Ad-01-001-Circumsicion-Kochi-Urology-LG,Meta Leads,,4076,6006,,821.56,39,0.64935065,21.06564103,2023-09-01,2023-09-30,,
Gynecomastia-Vizag-Sep23,Gynecomastia-Vizag-Man holding bag strap,Meta Leads,1,5408,7010,793.86,793.86,37,0.5278174,21.45567568,2023-09-01,2023-09-30,,
Cataract-Chennai-Sep23,Cataract-Chennai-old man eye,Meta Leads,3,1692,2210,263.26,789.77,13,0.58823529,60.75153846,2023-09-01,2023-09-30,,
Lipoma-Coimbatore-Sep23,Lipoma-Coimbatore-Girl Striking Lump,Meta Leads,1,3437,4625,770.52,770.52,39,0.84324324,19.75692308,2023-09-01,2023-09-30,,
Lipoma-Kochi-Sep23,Lipoma-Kochi-Girl's hand,Meta Leads,2,5152,6287,385.23,770.45,42,0.66804517,18.34404762,2023-09-01,2023-09-30,,
Circumcision-Trivandrum,Circumcision-Trivandrum-Pen on Surgeon's Hand,Meta Leads,3,5981,7517,256.11,768.33,40,0.53212718,19.20825,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Pen on surgeon's Hand,Meta Leads,1,4691,5562,762.79,762.79,17,0.30564545,44.87,2023-09-01,2023-09-30,,
001-Piles-Kochi-Procto-LG,Ad-02-001-Piles-Kochi-Procto-LG,Meta Leads,,6567,8461,,757.34,42,0.49639523,18.03190476,2023-09-01,2023-09-30,,
Piles-Trivandrum-Sep23,Piles-Trivandrum-Video,Meta Leads,1,3410,5664,748.28,748.28,92,1.62429379,8.13347826,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-LG,Ad-02-001-Circumsicion-Chennai-Urology-LG,Meta Leads,3,5344,6134,245.91,737.73,69,1.12487773,10.69173913,2023-09-01,2023-09-30,,
001-Piles-Vizag-Procto-LG,Ad-02-001-Piles-Vizag-Procto-LG,Meta Leads,3,5072,5815,245.03,735.10,19,0.32674119,38.68947368,2023-09-01,2023-09-30,,
Piles-Bangalore-Sep23,Piles-Bangalore-plastic body & tissue paper,Meta Leads,2,2893,3393,365.63,731.26,22,0.64839375,33.23909091,2023-09-01,2023-09-30,,
Circumcision-Trivandrum-Sep23,Circumcision-Trivandrum-Man with black t-shirt,Meta Leads,1,4977,6336,730.89,730.89,47,0.74179293,15.55085106,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Pen,Meta Leads,1,3367,3922,719.04,719.04,11,0.28046915,65.36727273,2023-09-01,2023-09-30,,
Cataract-Chennai-Sep23,Cataract-Chennai-Video,Meta Leads,,2894,3460,,715.10,20,0.57803468,35.755,2023-09-01,2023-09-30,,
Lipoma-Trivandrum-Sep23,Lipoma-Trivandrum-Girl's forehead,Meta Leads,1,7537,10201,689.60,689.60,71,0.6960102,9.71267606,2023-09-01,2023-09-30,,
Piles-Bangalore-Sep23,Piles-Bangalore-Man sitting on a sofa,Meta Leads,2,3432,4174,328.95,657.89,33,0.79060853,19.93606061,2023-09-01,2023-09-30,,
Circumcision-Bangalore-Sep23,Circumcision-Bangalore-Video,Meta Leads,1,2690,3430,653.93,653.93,19,0.55393586,34.41736842,2023-09-01,2023-09-30,,
Circumcision-Kochi-Sep23,Circumcision-Kochi-Pen,Meta Leads,,9887,10527,,642.85,22,0.20898642,29.22045455,2023-09-01,2023-09-30,,
Piles-Coimbatore-Sep23,Piles-Coimbatore-Girl holding cactus,Meta Leads,2,2588,3643,318.10,636.19,28,0.76859731,22.72107143,2023-09-01,2023-09-30,,
Liposuction-Vizag-Sep23,Liposuction-Vizag-Video,Meta Leads,2,2565,3146,317.33,634.66,49,1.55753338,12.9522449,2023-09-01,2023-09-30,,
Circumcision-Kochi-Sep23,Circumcision-Kochi-Video,Meta Leads,,4840,5447,,621.93,39,0.71599045,15.94692308,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-Man sitting on a sofa,Meta Leads,1,10923,11218,619.32,619.32,39,0.34765555,15.88,2023-09-01,2023-09-30,,
Piles-Kochi-Sep23,Piles-Kochi-Video,Meta Leads,,6359,6949,,610.25,49,0.70513743,12.45408163,2023-09-01,2023-09-30,,
Lipoma-Chennai-Sep23,Lipoma-Chennai-Girl's forehead,Meta Leads,4,4835,6634,145.81,583.24,37,0.55773289,15.76324324,2023-09-01,2023-09-30,,
Lipoma-Trivandrum-Sep23,Lipoma-Trivandrum-Child Giving a Drawing to Dad,Meta Leads,,3587,5035,,578.95,41,0.8142999,14.12073171,2023-09-01,2023-09-30,,
Gynecomastia-Bangalore-Sep23,Gynecomastia-Bangalore-Man holding bag strap,Meta Leads,2,2262,2978,275.23,550.45,23,0.77233042,23.9326087,2023-09-01,2023-09-30,,
Circumcision-Vizag-Sep23,Circumcision-Vizag-Pen,Meta Leads,,3719,4398,,543.98,21,0.47748977,25.90380952,2023-09-01,2023-09-30,,
001-Varicose Vein-Bangalore-Vascular-LG,Ad-01-001-Varicose Vein-Bangalore-Vascular-LG,Meta Leads,,2126,2886,,540.38,32,1.10880111,16.886875,2023-09-01,2023-09-30,,
Lipoma-Trivandrum-Sep23,Lipoma-Trivandrum-Girl's hand,Meta Leads,,5253,6328,,526.75,27,0.42667509,19.50925926,2023-09-01,2023-09-30,,
Gynecomastia-Trivandrum-Sep23,Gynecomastia-Trivandrum-Side view of a man boobs without shirt,Meta Leads,1,6454,7730,517.37,517.37,36,0.46571798,14.37138889,2023-09-01,2023-09-30,,
Circumcision-Chennai-Sep23,Circumcision-Chennai-Man with black t-shirt,Meta Leads,,2127,2485,,513.51,9,0.36217304,57.05666667,2023-09-01,2023-09-30,,
Piles-Trivandrum-Sep23,Piles-Trivandrum-Man sitting on a sofa,Meta Leads,,3508,4112,,512.96,8,0.19455253,64.12,2023-09-01,2023-09-30,,
